"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"244","NM_152618","NM_016275","HGNC:26648","HGNC:18136","0.117","0","0.078","0.063","0","0.03","0.173","0","0.59",0
"245","NM_015289","NM_022367","HGNC:20593","HGNC:10729","0.204","0.333","0","0.144","0.093","0","0.075","0.413","0",0
"246","NM_001134888","NM_031274","HGNC:14665","HGNC:11735","0","0","0","0","0","0","0","0","0",0
"247","NM_021916","NM_007244","HGNC:13140","HGNC:18020","0","0","0","0","0","0","0","0","0",0
"248","NM_152266","NM_015444","HGNC:28467","HGNC:30293","0","0","0","0","0","0","0","0","0",0
"249","NM_032227","NM_005174","HGNC:26217","HGNC:833","0","0","0","0","0","0","0","0","0",0
"250","NM_203390","NR_038962","HGNC:32310","HGNC:44156","0","0","0","0","0","0","0","0","0",0
"251","NM_006460","NM_020345","HGNC:24953","HGNC:17899","0.422","0","0","0.219","0","0","0.513","0.314","0.129",0
"252","NM_033198","NM_032126","HGNC:14937","HGNC:25366","0","0.246","0","0","0.063","0","0","0.355","0",0
"253","NM_145734","NM_017509","HGNC:10750","HGNC:20453","0","0","0.483","0","0","0.04","0","0","0.622",0
"254","NM_020467","NM_001164416","HGNC:26918","HGNC:27867","0","0","0","0","0","0","0","0","0",0
"255","NM_024685","NM_001012762","HGNC:26291","HGNC:28005","0.04","0","1","0.02","0","0.067","0.049","0","1",0
"256","NM_001037813","NR_145820","HGNC:13078","HGNC:53515","0","0","0","0","0","0","0","0","0",0
"257","NM_001306084","NR_003214.1","HGNC:26456","HGNC:33009","0","0","0","0","0","0","0","0","0",0
"258","NR_026838","NM_194271","HGNC:16707","HGNC:17297","0","0","1","0","0","0.067","0.181","0.314","0.635",0
"259","NM_012238","NM_033212","HGNC:14929","HGNC:28097","0","0","0","0","0","0","0","0","0",0
"260","NM_000306","NM_181430","HGNC:9210","HGNC:6036","0.69","1","0.496","0.203","0.12","0.118","0.643","1","0.637",0
"261","NM_004337","NM_181873","HGNC:1355","HGNC:24307","0","0","0","0","0","0","0","0.314","0",0
"262","NM_181725","NR_002715","HGNC:25755","HGNC:10038","0","0","0","0","0","0","0","0","0",0
"263","NM_015346","NM_020632","HGNC:20761","HGNC:866","0.081","0.431","0.587","0.039","0.17","0.058","0.149","0.561","0.744",0
"264","NM_006156","YP_003024032","HGNC:7732","HGNC:7422","0.219","0.265","1","0.111","0.078","0.067","0.148","0.366","1",0
"265","NM_019610","NM_032796","HGNC:25073","HGNC:16273","0","0","0","0","0","0","0","0","0",0
"266","NM_014982","NM_002335","HGNC:19740","HGNC:6697","0","0","0","0","0","0","0","0","0",0
"267","NM_203346","NM_019042","HGNC:4857","HGNC:26033","0.19","0.246","0.468","0.111","0.036","0.102","0.252","0.413","0.692",0
"268","NM_152701","NM_025000","HGNC:14638","HGNC:25784","0.067","0.244","0","0.028","0.072","0","0.056","0.34","0",0
"269","NM_198524","NM_198947","HGNC:29585","HGNC:24200","0","0","1","0","0","0.067","0","0","1",0
"270","NM_133498","NM_207308","HGNC:16441","HGNC:29915","0","0","0","0","0","0","0","0","0",0
"271","NM_015062","NM_017970","HGNC:30025","HGNC:20186","0","0","0","0","0","0","0.289","0.149","0.282",0
"272","NM_004506","NM_001005211","HGNC:5225","HGNC:14718","0","0.096","0","0","0.016","0","0","0.233","0",0
"273","NM_005620","NM_016582","HGNC:10488","HGNC:18068","0.518","0.318","1","0.168","0.053","0.067","0.292","0.424","1",0
"274","NM_012394","NR_030596","HGNC:8867","HGNC:33652","0","0","0","0","0","0","0","0","0",0
"275","NM_001080526","NM_002909","HGNC:3563","HGNC:9951","0","0","0","0","0","0","0","0.068","0",0
"276","NM_005961","NM_001217","HGNC:7517","HGNC:1370","0","0","0","0","0","0","0","0","0",0
"277","NM_033388","NR_029485","HGNC:25464","HGNC:31543","0","0.304","0","0","0.07","0","0","0.163","0",0
"278","NM_018433","NM_198723","HGNC:20815","HGNC:11614","0.331","0.509","1","0.152","0.184","0.067","0.352","0.818","1",0
"279","NM_174938","NM_001098169","HGNC:24125","HGNC:20450","0","0","0","0","0","0","0","0","0",0
"280","NM_198571","NM_005905","HGNC:22030","HGNC:6774","0","0","0","0","0","0","0","0","0",0
"281","NR_029599","NM_144980","HGNC:31628","HGNC:21233","0","0","0","0","0","0","0","0","0",0
"282","NR_029852","NR_030266","HGNC:32023","HGNC:32532","0","0","0","0","0","0","0","0","0",0
"283","NM_004319","NM_001044369","HGNC:773","HGNC:31729","0","0","0","0","0","0","0","0","0",0
"284","NM_001283043","NM_005810","HGNC:17770","HGNC:6380","0.151","0.83","0.158","0.055","0.086","0.034","0.14","0.91","0.417",0
"285","NM_002245","NM_001146684.2","HGNC:6272","HGNC:34517","0","0","0","0","0","0","0","0","0",0
"286","NM_030969","NM_020354","HGNC:21384","HGNC:19745","0.055","0","0","0.028","0","0","0.115","0","0",0
"287","NR_023377","NM_003692","HGNC:34376","HGNC:11866","0","0","0","0","0","0","0","0","0",0
"288","NM_032641","NM_014727","HGNC:29522","HGNC:15840","0.326","0.246","0.362","0.146","0.036","0.034","0.3","0.413","0.588",0
"289","NM_001350989","NR_002324","HGNC:16086","HGNC:10107","0","0","0","0","0","0","0","0.483","0",0
"290","NM_025078","NM_207312","HGNC:26188","HGNC:20765","0","0","0","0","0","0","0","0","0",0
"291","NM_178459","NM_017518","HGNC:16247","HGNC:32979","0","0","0","0","0","0","0","0","0",0
"292","NM_017851","NM_201453","HGNC:26040","HGNC:18519","0","0","0","0","0","0","0","0","0",0
"293","NM_001101389","NM_017677","HGNC:37218","HGNC:16825","0","0","0","0","0","0","0","0","0",0
"294","NM_014267","NM_024665","HGNC:16990","HGNC:29529","0","0","0","0","0","0","0.17","0.383","0.477",0
"295","NM_013438","NR_106970","HGNC:12508","HGNC:50265","0","0","0","0","0","0","0","0.305","0",0
"296","NM_031956","NR_002575","HGNC:29936","HGNC:32617","0","0","0","0","0","0","0","0","0",0
"297","NR_031722","NM_032935","HGNC:35385","HGNC:18705","0","0","0","0","0","0","0","0","0",0
"298","NM_003603","NR_024228","HGNC:24098","HGNC:34311","0","0","0","0","0","0","0","0","0",0
"299","NM_001135865","NM_003220","HGNC:37233","HGNC:11742","0","0","0","0","0","0","0","0","0",0
"300","NM_177963","NM_053278","HGNC:18381","HGNC:14964","0","0","0","0","0","0","0","0","0",0
"301","NR_024079","NM_003787","HGNC:28668","HGNC:7870","0","0","0","0","0","0","0","0","0",0
"302","NM_003299","NM_022484","HGNC:12028","HGNC:25826","0","0.571","0","0","0.216","0","0","0.725","0",0
"303","NM_018201","NM_018306","HGNC:25571","HGNC:25620","0","0","0","0","0","0","0","0","0",0
"304","NM_007168","NM_006408","HGNC:38","HGNC:328","0.375","0.08","0","0.168","0.016","0","0.46","0.257","0.086",0
"305","NM_173826","NM_138346","HGNC:25241","HGNC:28513","0","0","0","0","0","0","0","0.136","0",0
"306","NG_000002","NM_024029","HGNC:5908","HGNC:28476","0","0","0","0","0","0","0","0","0",0
"307","NM_002275","NM_005477","HGNC:6421","HGNC:16882","0.115","0.159","0.126","0.054","0.038","0.025","0.143","0.396","0.345",0
"308","NM_032881","NR_030223","HGNC:17562","HGNC:32133","0.248","0","0.352","0.143","0","0.242","0.177","0","0.604",0
"309","NM_020871","NM_022899","HGNC:29292","HGNC:14672","0","0","0","0","0","0","0","0","0",0
"310","NM_198081","NM_012210","HGNC:21397","HGNC:16380","0","0.79","0","0","0.12","0","0","0.661","0",0
"311","NM_016204","NM_001144981","HGNC:4217","HGNC:34361","0","0","0","0","0","0","0","0","0",0
"312","NM_000608","NR_003216.1","HGNC:8499","HGNC:33011","0","0","0","0","0","0","0","0","0",0
"313","NM_018066","NM_012287","HGNC:25513","HGNC:16469","0","0","0","0","0","0","0.155","0.643","0",0
"314","NM_025204","NM_001008494","HGNC:28805","HGNC:28084","0","0","0","0","0","0","0","0","0",0
"315","NM_001008408","NR_029677","HGNC:27223","HGNC:31520","0","0","0.586","0","0","0.242","0","0","0.713",0
"316","NR_004426","NM_022375","HGNC:37500","HGNC:8103","0","0","0","0","0","0","0","0","0",0
"317","NM_001099289","NM_018845","HGNC:24699","HGNC:30657","0","0","0","0","0","0","0.034","0","0.134",0
"318","NM_175064","NM_015671","HGNC:16408","HGNC:24502","0","0","0","0","0","0","0","0","0",0
"319","NM_014963","NM_016118","HGNC:29158","HGNC:17623","0.496","0","0","0.226","0","0","0.285","0.255","0",0
"320","NM_002569","NG_011771","HGNC:8568","HGNC:5637","0","0","0","0","0","0","0","0","0",0
"321","NM_000934","NM_006758","HGNC:9075","HGNC:12453","0.228","0.238","0.399","0.09","0.108","0.043","0.159","0.271","0.559",0
"322","NM_001002912","NM_198498","HGNC:25346","HGNC:30527","0","0","0","0","0","0","0","0","0",0
"323","NM_001101357","NM_032320","HGNC:37286","HGNC:21445","0","0","0","0","0","0","0","0","0",0
"324","NR_029480","NM_001646","HGNC:31480","HGNC:611","0.192","0.487","0","0.085","0.155","0","0.132","0.464","0.097",0
"325","NM_001417","NR_003018","HGNC:3285","HGNC:32657","0","0","0","0","0","0","0","0","0",0
"326","NM_016648","NM_001243466","HGNC:24912","HGNC:19164","0","1","1","0","0.175","0.067","0","1","1",0
"327","NM_021078","NR_037945.1","HGNC:4201","HGNC:41993","0","0","0","0","0","0","0","0","0",0
"328","NM_007014","NM_024706","HGNC:16804","HGNC:25821","0","0","0","0","0","0","0","0","0.214",0
"329","NM_024834","NM_022831","HGNC:25782","HGNC:25761","0.124","0","1","0.065","0","0.067","0.105","0.383","1",0
"330","NM_015029","NM_144653","HGNC:30129","HGNC:23846","0.186","0.535","0.439","0.1","0.153","0.118","0.147","0.656","0.479",0
"331","NM_001017979","NM_001383","HGNC:9768","HGNC:3003","0","0.195","0.126","0","0.065","0.03","0","0.343","0.17",0
"332","NM_001105581","NM_000460","HGNC:30219","HGNC:11795","0","0","0","0","0","0","0","0","0",0
"333","NM_014067","NM_198468","HGNC:29598","HGNC:21475","0.464","0.552","1","0.198","0.125","0.067","0.444","0.667","1",0
"334","NM_194282","NR_145730","HGNC:25397","HGNC:52194","0","0","0","0","0","0","0","0","0",0
"335","NM_001145250","NR_030374","HGNC:30690","HGNC:32900","0","0","0","0","0","0","0","0","0",0
"336","NM_005045","NM_207327","HGNC:9957","HGNC:33710","0","0","0.208","0","0","0.067","0","0","0.69",0
"337","NM_001194","NM_006361","HGNC:4846","HGNC:5112","0.1","0.096","0.061","0.042","0.016","0.013","0.126","0.233","0.191",0
"338","NR_031728","NR_029513","HGNC:35391","HGNC:31649","0","0","0","0","0","0","0","0","0",0
"339","NM_014650","NM_138285","HGNC:20810","HGNC:29797","0","1","0","0","0.184","0","0","1","0.214",0
"340","NM_001351303","NM_173469","HGNC:32962","HGNC:19248","0","0","0","0","0","0","0","0","0",0
"341","NM_016579","NM_004723","HGNC:16692","HGNC:682","0.292","0.409","0.409","0.156","0.113","0.079","0.199","0.443","0.521",0
"342","NM_024941","NR_003309.1","HGNC:25828","HGNC:33036","0","0","0","0","0","0","0","0","0",0
"343","NM_020685","NM_001395","HGNC:25024","HGNC:3076","0","0","0","0","0","0","0","0","0",0
"344","NM_012382","NR_027932","HGNC:29959","HGNC:29841","0","0","0","0","0","0","0","0","0",0
"345","NM_016232","NM_007159","HGNC:5998","HGNC:16643","0.117","0.7","1","0.048","0.156","0.067","0.178","0.611","1",0
"346","NM_014503","NM_030755","HGNC:17897","HGNC:15487","0.074","0.425","0","0.028","0.098","0","0.167","0.456","0.181",0
"347","NM_152784","NM_000099","HGNC:28598","HGNC:2475","0.145","0.289","1","0.07","0.083","0.067","0.174","0.375","1",0
"348","NM_175902","NM_020245","HGNC:26174","HGNC:15530","0","0","0","0","0","0","0","0.234","0",0
"349","NR_158158","NG_000834","HGNC:33206","HGNC:5716","0","0","0","0","0","0","0","0","0",0
"350","NM_181512","NM_001745","HGNC:14479","HGNC:1471","0.188","0.401","0.192","0.1","0.091","0.03","0.137","0.581","0.367",0
"351","NM_016649","NM_018081","HGNC:15898","HGNC:25522","0","0","1","0","0","0.242","0","0.141","1",0
"352","NM_152278","NM_004992","HGNC:28336","HGNC:6990","0.491","1","0","0.17","0.12","0","0.361","1","0",0
"353","NR_003033","NM_014935","HGNC:32702","HGNC:17053","0","0","0","0","0","0","0","0","0",0
"354","NM_004961, NM_021990, NM_021984","NM_016355","HGNC:4085","HGNC:18682","0","0","0","0","0","0","0","0","0",0
"355","NM_003133","XM_930581","HGNC:11304","HGNC:33112","0","0","0","0","0","0","0","0","0",0
"356","NM_017584","NM_001077624","HGNC:14522","HGNC:27260","0","0","0.025","0","0","0.01","0","0","0.218",0
"357","NM_002282","NM_000377","HGNC:6460","HGNC:12731","0.238","0.56","1","0.104","0.123","0.067","0.246","0.516","1",0
"358","NM_001029939","NM_020193","HGNC:19899","HGNC:18071","0","0","0","0","0","0","0","0","0.214",0
"359","NM_207042","NR_003324","HGNC:3360","HGNC:33075","0","0","0","0","0","0","0","0","0",0
"360","NM_020154","NM_016492","HGNC:24301","HGNC:17679","0","0.322","0","0","0.125","0","0.383","0.336","0",0
"361","NM_006573","NM_005098","HGNC:11929","HGNC:7321","0.143","0.195","0","0.028","0.024","0","0.078","0.346","0.227",0
"362","NM_145018","NM_021637","HGNC:26351","HGNC:25864","0","0","0","0","0","0","0.055","1","1",0
"363","NM_021077","NM_175902","HGNC:7842","HGNC:26174","0","0","0","0","0","0","0","0.444","0",0
"364","NM_032193","NM_145654","HGNC:24116","HGNC:19950","0","0.076","0","0","0.036","0","0","0.518","0",0
"365","NM_145045","NG_000834","HGNC:28303","HGNC:5817","0","0","0","0","0","0","0","0","0",0
"366","NM_001004749","NM_138569","HGNC:15188","HGNC:21355","0","0.544","0","0","0.156","0","0","0.886","0",0
"367","NM_018944","NM_001832","HGNC:1286","HGNC:2085","0.05","0","0","0.028","0","0","0.041","0.191","0",0
"368","NM_178554","NM_001080790","HGNC:26576","HGNC:31909","0","0","0","0","0","0","0","0.159","0",0
"369","NM_000315","NM_018052","HGNC:9606","HGNC:25507","0.384","0","0.346","0.15","0","0.052","0.359","0.105","0.625",0
"370","NM_000621","NM_181076","HGNC:5293","HGNC:31972","0","0","0","0","0","0","0","0","0",0
"371","NM_032018","NM_032237","HGNC:25356","HGNC:26267","0.22","0.402","0","0.108","0.097","0","0.252","0.472","0.147",0
"372","NM_030639","NM_002538","HGNC:29353","HGNC:8104","0.35","0.304","0.35","0.175","0.069","0.067","0.251","0.333","0.606",0
"373","NM_032411","NM_173647","HGNC:24642","HGNC:23137","0","0","0","0","0","0","0","0","0",0
"374","NM_004968","NM_000871","HGNC:5343","HGNC:5301","0","0.406","1","0","0.098","0.067","0","0.425","0.672",0
"375","NM_005547","NM_012308","HGNC:6187","HGNC:13606","0.21","0.745","1","0.123","0.184","0.067","0.27","0.889","1",0
"376","NM_006828","NM_005142","HGNC:18697","HGNC:4268","0.146","0.287","0.311","0.086","0.079","0.144","0.303","0.449","0.466",0
"377","NM_001134336","NM_001085","HGNC:22209","HGNC:16","0.265","0.189","0","0.113","0.048","0","0.201","0.276","0.477",0
"378","NR_024346","NM_014602","HGNC:33605","HGNC:8982","0","0","0","0","0","0","0","0","0",0
"379","NM_002569","NM_004858","HGNC:8568","HGNC:11034","0.406","1","0","0.168","0.156","0","0.444","1","0",0
"380","NM_002332","NM_016496","HGNC:6692","HGNC:28038","0.334","0.268","0.201","0.121","0.08","0.031","0.312","0.366","0.452",0
"381","NM_018638","NM_130759","HGNC:24649","HGNC:23237","0","0.427","0","0","0.091","0","0","0.574","0",0
"382","NM_138391","NM_206831","HGNC:20173","HGNC:27717","0","0","1","0","0","0.067","0","0","1",0
"383","NM_003100","NM_032494","HGNC:11173","HGNC:30941","0.089","0.311","0.316","0.049","0.104","0.051","0.069","0.465","0.592",0
"384","NM_000538","NM_144644","HGNC:9988","HGNC:17333","0","0","0","0","0","0","0","0.155","0.385",0
"385","NM_020967","NM_003626","HGNC:15909","HGNC:9245","0","0.172","1","0","0.023","0.067","0","0.351","1",0
"386","NM_138371","NM_021640","HGNC:28255","HGNC:17590","0","0","0","0","0","0","0","0","0.477",0
"387","NR_024223","NM_152681","HGNC:34308","HGNC:26775","0","0","0","0","0","0","0","0","0",0
"388","NM_006374","NM_001408","HGNC:11404","HGNC:3231","0.324","0.435","0","0.103","0.042","0","0.333","0.537","0.143",0
"389","NM_002767","NM_016522","HGNC:9467","HGNC:17941","0.079","0","1","0.028","0","0.067","0.12","0","1",0
"390","NR_146617","NM_197957","HGNC:26447","HGNC:6913","0","0","0","0","0","0","0","0","0",0
"391","NM_005514","NM_004371","HGNC:4932","HGNC:2230","0.048","0.651","0","0.024","0.24","0","0.075","0.62","0",0
"392","NM_021960","NM_030664","HGNC:6943","HGNC:9590","0.409","0.353","0","0.189","0.07","0","0.674","0.244","0.477",0
"393","NR_001445","NM_006665","HGNC:10037","HGNC:5164","0","0","0","0","0","0","0","0","0",0
"394","NM_022918","NM_006197","HGNC:26167","HGNC:8727","0.453","0.317","0","0.19","0.091","0","0.463","0.571","0",0
"395","NM_020796","NM_015666","HGNC:10738","HGNC:16239","0.236","0.164","0","0.125","0.049","0","0.181","0.146","0.129",0
"396","NM_001647","NM_032102","HGNC:612","HGNC:16988","0","0.28","0.549","0","0.073","0.084","0","0.466","0.576",0
"397","NM_016491","NM_017731","HGNC:14034","HGNC:16387","0.298","0.322","0.234","0.137","0.095","0.079","0.228","0.579","0.324",0
"398","NM_004244, NM_203416","NM_000871","HGNC:1631","HGNC:5301","0","0","0","0","0","0","0","0","0",0
"399","NM_020924","NM_014761","HGNC:23383","HGNC:28977","0","0","0.426","0","0","0.054","0.383","0.643","0.699",0
"400","NM_001039905","NM_014461","HGNC:33868","HGNC:2176","0","0","0","0","0","0","0","0","0",0
"401","NR_003139","NM_003754","HGNC:32559","HGNC:3275","0","0","0","0","0","0","0","0","0",0
"402","NR_027294","NR_002962","HGNC:27239","HGNC:32613","0","0","0","0","0","0","0","0","0",0
"403","NM_005370","NM_019590","HGNC:7007","HGNC:25428","0.36","0.622","0","0.149","0.079","0","0.265","0.784","0.477",0
"404","NM_019060","NM_003061","HGNC:29875","HGNC:11085","0","0","0.167","0","0","0.067","0","0","0.69",0
"405","NM_006531","NM_031463","HGNC:20606","HGNC:16475","0","0.268","1","0","0.091","0.067","0","0.493","1",0
"406","NM_138385","NM_014567","HGNC:25137","HGNC:971","0.279","0.327","0","0.135","0.068","0","0.164","0.383","0.14",0
"407","NM_024057","NM_000076","HGNC:29929","HGNC:1786","0.368","0.64","1","0.167","0.103","0.067","0.278","0.733","1",0
"408","NM_025229","NM_001005324","HGNC:15897","HGNC:15136","0","0","0","0","0","0","0","0","0",0
"409","NM_144708","NM_001143967","HGNC:26350","HGNC:34532","0","0","0","0","0","0","0","0","0",0
"410","NM_021239","NM_000443","HGNC:23244","HGNC:45","0.135","0.669","0.289","0.059","0.184","0.024","0.164","0.844","0.397",0
"411","NM_002255","NM_014380","HGNC:6332","HGNC:13388","0.237","0.295","0.403","0.109","0.091","0.034","0.184","0.369","0.54",0
"412","NM_198573","NM_021215","HGNC:24838","HGNC:16209","0","0","0","0","0","0","0","0","0",0
"413","NR_145725","NM_006873","HGNC:52210","HGNC:17003","0","0","0","0","0","0","0","0","0",0
"414","NM_080606","NM_018652","HGNC:16093","HGNC:32205","0","0","0","0","0","0","0","0","0",0
"415","NM_001242672","NR_001564","HGNC:34297","HGNC:12810","0","0","0","0","0","0","0","0","0",0
"416","NM_014783","NM_018647","HGNC:15783","HGNC:11915","0.549","0","0","0.219","0","0","0.406","0.117","0",0
"417","NM_000525","NM_014853","HGNC:6257","HGNC:29026","0.169","0.086","0.113","0.09","0.016","0.037","0.193","0.299","0.234",0
"418","NM_004821","NM_001127441","HGNC:4807","HGNC:15722","0","0","0","0","0","0","0","0","0",0
"419","NM_018925","NM_002167","HGNC:8712","HGNC:5362","0","0","0","0","0","0","0.251","0","0.477",0
"420","NM_001004065","NM_020165","HGNC:372","HGNC:18278","0","0","0","0","0","0","0","0","0",0
"421","NM_003511","NM_005660","HGNC:4730","HGNC:11022","0","0.609","0","0","0.095","0","0.184","0.691","0.112",0
"422","NM_130769","NM_025069","HGNC:18054","HGNC:25883","0.322","0","1","0.107","0","0.067","0.359","0.444","1",0
"423","NM_014051","NM_014271","HGNC:21076","HGNC:5996","0.327","0.304","1","0.2","0.089","0.067","0.155","0.211","1",0
"424","NM_017849","NM_014157","HGNC:26038","HGNC:25002","0.078","0.316","0.283","0.028","0.062","0.067","0.182","0.515","0.491",0
"425","NM_024554","NM_003585","HGNC:19405","HGNC:2986","0.04","0.365","0","0.028","0.036","0","0.116","0.506","0.151",0
"426","NM_181783","NM_181842","HGNC:26899","HGNC:19066","0","0","0","0","0","0","0","0","0.214",0
"427","NR_027331","NM_003641","HGNC:34426","HGNC:5412","0","0","0","0","0","0","0","0","0",0
"428","XR_041347","NR_002969","HGNC:34548","HGNC:32628","0","0","0","0","0","0","0","0","0",0
"429","NM_001278522","NM_022817","HGNC:28693","HGNC:8846","0","0","0","0","0","0","0","0","0",0
"430","NM_001005218","NM_001782","HGNC:19616","HGNC:1696","0","1","0","0","0.156","0","0","1","0",0
"431","NM_172234","NM_012210","HGNC:18015","HGNC:16380","0.319","0.088","0","0.131","0.014","0","0.312","0.307","0.143",0
"432","NM_014802","NM_018663","HGNC:29062","HGNC:9716","0","0.476","0.146","0","0.106","0.03","0.13","0.527","0.355",0
"433","NM_001048201","NG_013116.1","HGNC:12556","HGNC:34004","0","0","0","0","0","0","0","0","0",0
"434","NM_001760","NM_001127388","HGNC:1585","HGNC:37265","0","0","0","0","0","0","0","0","0",0
"435","NM_145793","NM_004040","HGNC:4243","HGNC:668","0.42","0.587","0.186","0.154","0.144","0.033","0.368","0.58","0.397",0
"436","NM_016138","NM_144736","HGNC:2244","HGNC:28816","0","0.46","1","0","0.086","0.067","0","0.74","1",0
"437","NM_001024607","NG_012782","HGNC:33712","HGNC:34294","0","0","0","0","0","0","0","0","0",0
"438","NM_001080140","NM_002961","HGNC:33288","HGNC:10494","0","0","0","0","0","0","0","0","0",0
"439","NM_012100","NM_018955","HGNC:2981","HGNC:12463","0.581","0.544","1","0.146","0.118","0.067","0.395","0.613","1",0
"440","NR_045180","NM_012427","HGNC:39933","HGNC:6366","0","0","0","0","0","0","0","0","0",0
"441","NM_017703","NG_032089","HGNC:13611","HGNC:43746","0","0","0","0","0","0","0","0","0",0
"442","NM_173565","NM_021013","HGNC:27362","HGNC:6452","0","0","0","0","0","0","0","0","0",0
"443","NM_001033046","NM_017969","HGNC:28672","HGNC:25467","0.127","0.462","1","0.076","0.086","0.067","0.082","0.704","1",0
"444","NM_021639","NM_001256863","HGNC:28843","HGNC:44450","0","0","0","0","0","0","0","0","0",0
"445","NM_003012","NR_023311","HGNC:10776","HGNC:12921","0","0","0","0","0","0","0","0","0",0
"446","NM_002055","NM_004888","HGNC:4235","HGNC:864","0.269","0.693","0.532","0.148","0.168","0.054","0.239","0.671","0.753",0
"447","NR_145738","NM_001123391","HGNC:52245","HGNC:19031","0","0","0","0","0","0","0","0","0",0
"448","NM_000417","NM_152456","HGNC:6008","HGNC:28529","0.624","0","0.166","0.271","0","0.067","0.524","0.186","0.602",0
"449","NM_005045","NM_000466","HGNC:9957","HGNC:8850","0.165","0.669","0.122","0.084","0.122","0.047","0.162","0.555","0.447",0
"450","NM_203422","NM_032128","HGNC:33724","HGNC:23088","0","0","0","0","0","0","0","0","0",0
"451","NM_004480","NM_020475","HGNC:4019","HGNC:492","0.032","0.522","0","0.015","0.1","0","0.129","0.525","0.169",0
"452","NM_152491","NM_001144950","HGNC:26518","HGNC:26641","0.116","0.94","0","0.065","0.243","0","0.11","0.325","0",0
"453","NM_173580","NM_000231","HGNC:26805","HGNC:10809","0","0","0","0","0","0","0","0","0",0
"454","NM_001004477","NM_001005407","HGNC:14995","HGNC:1395","0","0","0","0","0","0","0","0","0",0
"455","NM_020461","NM_012272","HGNC:18127","HGNC:25031","0","0","0","0","0","0","0","0","0",0
"456","NM_001643","NM_001001795","HGNC:601","HGNC:33826","0","0","0","0","0","0","0","0","0",0
"457","NM_001004700","NR_029847","HGNC:15167","HGNC:31611","0","0","0","0","0","0","0","0.177","0",0
"458","NM_017692","NM_022095","HGNC:15984","HGNC:15807","0.12","0.773","0.421","0.057","0.152","0.091","0.161","0.843","0.575",0
"459","NM_001586","NM_016442","HGNC:2563","HGNC:18173","0","0","0","0","0","0","0.323","0","0.477",0
"460","NM_015938","NM_001080515","HGNC:24250","HGNC:33277","0","0","0.281","0","0","0.067","0","0","0.709",0
"461","NM_001039614","NM_016061","HGNC:33753","HGNC:18329","0.205","0.216","0","0.099","0.053","0","0.18","0.503","0",0
"462","NM_001079","NM_001031665","HGNC:12858","HGNC:26995","0","0","0","0","0","0","0","0","0.214",0
"463","NG_009335","NR_049821","HGNC:37801","HGNC:43515","0","0","0","0","0","0","0","0","0",0
"464","NM_020350","NM_015431","HGNC:13539","HGNC:24150","0","0","0","0","0","0","0","0","0.477",0
"465","NM_001039083","NM_173822","HGNC:32387","HGNC:28593","0","0","0","0","0","0","0","0","0",0
"466","NM_018672","NM_198181","HGNC:35","HGNC:37229","0","0","0","0","0","0","0","0","0",0
"467","NR_003203.1","NM_004797","HGNC:32998","HGNC:13633","0","0","0","0","0","0","0","0","0",0
"468","NM_002598","NM_054028","HGNC:8762","HGNC:15546","0","0","0","0","0","0","0","0","0",0
"469","NM_015908","NM_001689","HGNC:24101","HGNC:843","0.273","0.316","0","0.109","0.097","0","0.188","0.405","0",0
"470","NM_003170","NR_028379","HGNC:11470","HGNC:37190","0","0","0","0","0","0","0","0","0",0
"471","NM_144647","NM_015911","HGNC:28375","HGNC:28028","0","0","0","0","0","0","0","0","0",0
"472","NM_001164404","NM_198441","HGNC:32206","HGNC:24754","0","0","0","0","0","0","0","0","0",0
"473","NM_018119","NM_022912","HGNC:30347","HGNC:25786","0","0.376","0","0","0.079","0","0.076","0.573","0",0
"474","NM_001004753","NM_020382","HGNC:15197","HGNC:29489","0","0.118","0","0","0.016","0","0","0.356","0",0
"475","NM_199054","NM_212552","HGNC:7111","HGNC:24415","0","0.393","0","0","0.086","0","0.223","0.52","0.477",0
"476","NM_017734","NM_053275","HGNC:15846","HGNC:10371","0","0","0","0","0","0","0","0","0",0
"477","NM_153232","NM_001821","HGNC:28292","HGNC:1941","0.149","0.722","0.283","0.063","0.114","0.067","0.104","0.791","0.491",0
"478","NM_014271","NM_152602","HGNC:5996","HGNC:20811","0","0","0.484","0","0","0.04","0","0","0.618",0
"479","NM_014925","NM_013349","HGNC:29167","HGNC:30384","0","0","0","0","0","0","0","0","0",0
"480","NM_005869","NM_178505","HGNC:10664","HGNC:28550","0","0","0","0","0","0","0","0","0",0
"481","NM_001913","NM_000998","HGNC:2557","HGNC:10348","0.294","0.675","0.417","0.1","0.116","0.108","0.304","0.69","0.432",0
"482","NG_012782","NM_003136","HGNC:34294","HGNC:11301","0","0","0","0","0","0","0","0","0",0
"483","NM_003047","NM_018957","HGNC:11071","HGNC:10824","0.495","0.626","0.259","0.24","0.204","0.039","0.361","0.618","0.497",0
"484","NM_181454","NM_145038","HGNC:16686","HGNC:24245","0.226","0.328","0","0.124","0.164","0","0.17","0.514","0",0
"485","NM_003385","NR_030392","HGNC:12722","HGNC:32912","0","0","0","0","0","0","0","0","0",0
"486","NM_014431","NM_001024678","HGNC:23530","HGNC:28947","0","0","0","0","0","0","0","0","0",0
"487","NM_176881","NG_001019","HGNC:18886","HGNC:5553","0","0","0","0","0","0","0","0","0",0
