HGNC ID,Approved symbol,RefSeq IDs,Enzyme IDs,Gene group ID,Gene group name,RefSeq(supplied by NCBI)
HGNC:1708,CD8B2,NM_001349727,,,,NM_001349727
HGNC:1628,CD14,NM_000591,,1253|471,Scavenger receptors|CD molecules,NM_000591
HGNC:1643,CD22,NM_001771,,592|745|1691|471,C2-set domain containing|Sialic acid binding Ig like lectins|MicroRNA protein coding host genes|CD molecules,NM_001185099
HGNC:1645,CD24,NM_013230,,471,CD molecules,NM_001291737
HGNC:1649,CD24P4,NG_006012,,,,NG_006012
HGNC:1653,CD28,NM_006139,,590|1410|471,V-set domain containing|Ig-like cell adhesion molecule family|CD molecules,NM_001243077
HGNC:1659,CD33,NM_001772,,745|590|471,Sialic acid binding Ig like lectins|V-set domain containing|CD molecules,NM_001082618
HGNC:1662,CD34,NM_001773,,471,CD molecules,NM_001025109
HGNC:1663,CD36,NM_001001547,,1253|471,Scavenger receptors|CD molecules,NM_000072
HGNC:11919,CD40,NM_001250,,782|471,Tumor necrosis factor receptor superfamily|CD molecules,NM_001250
HGNC:11935,CD40LG,NM_000074,,781|471,Tumor necrosis factor superfamily|CD molecules,NM_000074
HGNC:1681,CD44,NM_000610,,570|454|471,Proteoglycans|Blood group antigens|CD molecules,NM_000610
HGNC:6953,CD46,NM_172361,,1179|1639|471,Sushi domain containing|Complement system regulators and receptors|CD molecules,NM_002389
HGNC:1682,CD47,NM_001777,,1410|594|471,Ig-like cell adhesion molecule family|Immunoglobulin like domain containing|CD molecules,NM_001777
HGNC:1683,CD48,NM_001778,,590|594|471,V-set domain containing|Immunoglobulin like domain containing|CD molecules,NM_001256030
HGNC:1804,CD52,NM_001803,,471,CD molecules,NM_001803
HGNC:1686,CD53,NM_000560,,768|471,Tetraspanins|CD molecules,NM_000560
HGNC:2665,CD55,NM_000574,,1179|454|1639|471,Sushi domain containing|Blood group antigens|Complement system regulators and receptors|CD molecules,NM_000574
HGNC:1688,CD58,NM_001779,,1410|1691|471,Ig-like cell adhesion molecule family|MicroRNA protein coding host genes|CD molecules,NM_001144822
HGNC:1689,CD59,NM_203329,,1226|454|1639|471,LY6/PLAUR domain containing|Blood group antigens|Complement system regulators and receptors|CD molecules,NM_000611
HGNC:1693,CD68,NM_001251,,1253|1910|471,Scavenger receptors|Lysosome associated membrane proteins|CD molecules,NM_001040059
HGNC:1696,CD72,NM_001782,,1298|471,C-type lectin domain containing|CD molecules,NM_001782
HGNC:1697,CD74,NM_004355,,471,CD molecules,NM_001025158
HGNC:1700,CD80,NM_005191,,592|590|1824|471,C2-set domain containing|V-set domain containing|B7 family|CD molecules,NM_005191
HGNC:1701,CD81,NM_004356,,768|471,Tetraspanins|CD molecules,NM_001297649
HGNC:6210,CD82,NM_002231,,768|471,Tetraspanins|CD molecules,NM_001024844
HGNC:1704,CD84,NM_003874,,1410|594|471,Ig-like cell adhesion molecule family|Immunoglobulin like domain containing|CD molecules,NM_001184879
HGNC:1705,CD86,NM_006889,,590|1824|594|471,V-set domain containing|B7 family|Immunoglobulin like domain containing|CD molecules,NM_001206924
HGNC:15855,CD93,NM_012072,,1298|1639|471,C-type lectin domain containing|Complement system regulators and receptors|CD molecules,NM_012072
HGNC:7082,CD99,NM_001122898,,715|454|471,Pseudoautosomal region 1|Blood group antigens|CD molecules,NM_001122898
HGNC:18237,CD99L2,NM_031462,,,,NM_001184808
HGNC:5949,CD101,NM_004258,,593|590|594|471,I-set domain containing|V-set domain containing|Immunoglobulin like domain containing|CD molecules,NM_001256106
HGNC:21685,CD109,NM_133493,,1234|471,"C3 and PZP like, alpha-2-macroglobulin domain containing|CD molecules",NM_001159587
HGNC:1630,CD151,NM_004357,,768|454|471,Tetraspanins|Blood group antigens|CD molecules,NM_001039490
HGNC:17013,CD160,NM_007053,,594|471,Immunoglobulin like domain containing|CD molecules,NM_007053
HGNC:1631,CD163,"NM_004244, NM_203416",,1253|1404|471,Scavenger receptors|Scavenger receptor cysteine rich domain containing|CD molecules,NM_001370145
HGNC:30375,CD163L1,NM_174941,,1253|1404,Scavenger receptors|Scavenger receptor cysteine rich domain containing,NM_001297650
HGNC:1632,CD164,NM_006016,,1152|471,Deafness associated genes|CD molecules,NM_001142401
HGNC:32043,CD164L2,NM_207397,,,,NM_001330448
HGNC:30072,CD177,NM_020406,,1226|471,LY6/PLAUR domain containing|CD molecules,NM_020406
HGNC:6726,CD180,NM_005582,,471,CD molecules,NM_005582
HGNC:24235,CD200R1,NM_138806,,592,C2-set domain containing,NM_138806
HGNC:24665,CD200R1L,NM_001008784,,592,C2-set domain containing,NM_001008784
HGNC:17935,CD207,NM_015717,,1253|1298|471,Scavenger receptors|C-type lectin domain containing|CD molecules,NM_015717
HGNC:1641,CD209,NM_021155,,1253|1298|471,Scavenger receptors|C-type lectin domain containing|CD molecules,NM_001144893
HGNC:16961,CD226,NM_006566,,590|471,V-set domain containing|CD molecules,NM_001303618
HGNC:18171,CD244,NM_016382,,1410|594|471,Ig-like cell adhesion molecule family|Immunoglobulin like domain containing|CD molecules,NM_001166663
HGNC:1677,CD247,NM_198053,,471,CD molecules,NM_000734
HGNC:18219,CD248,NM_020404,,1298|471,C-type lectin domain containing|CD molecules,NM_020404
HGNC:17635,CD274,NM_014143,,592|590|1824|542|471,C2-set domain containing|V-set domain containing|B7 family|Receptor ligands|CD molecules,NM_001267706
HGNC:19137,CD276,NM_025240,,592|590|1824|471,C2-set domain containing|V-set domain containing|B7 family|CD molecules,NM_001024736
HGNC:19319,CD300A,NM_007261,,590|471,V-set domain containing|CD molecules,NM_001256841
HGNC:19320,CD300C,NM_006678,,590|471,V-set domain containing|CD molecules,NM_006678
HGNC:28874,CD300E,NM_181449,,590|471,V-set domain containing|CD molecules,NM_181449
HGNC:30811,CD300LB,NM_174892,,590,V-set domain containing,NM_174892
HGNC:16848,CD300LD,NM_001115152,,590,V-set domain containing,NM_001115152
HGNC:29883,CD300LF,NM_139018,,590,V-set domain containing,NM_001289082
HGNC:30455,CD300LG,NM_145273,,590,V-set domain containing,NM_001168322
HGNC:30843,CD302,NM_014880,,1298|471,C-type lectin domain containing|CD molecules,NM_001198763
HGNC:16692,CD320,NM_016579,,471,CD molecules,NM_001165895
HGNC:20299,CDADC1,NM_030911,,,,NM_001193478
HGNC:1713,CDAN1,NM_138477,,,,NM_138477
HGNC:1745,CDC7,NM_003503,,,,NM_001134419
HGNC:1718,CDC14A,NM_033312,,900,CDC14 phosphatases,NM_001319210
HGNC:1719,CDC14B,NM_033331,,900,CDC14 phosphatases,NM_001077181
HGNC:22427,CDC14C,NM_152627,,,,NM_152627
HGNC:1720,CDC16,NM_003903,,402|769|1691,Anaphase promoting complex |Tetratricopeptide repeat domain containing|MicroRNA protein coding host genes,NM_001078645
HGNC:1723,CDC20,NM_001255,,362,WD repeat domain containing,NM_001255
HGNC:24222,CDC20B,NM_152623,,362|1691,WD repeat domain containing|MicroRNA protein coding host genes,NM_001145734
HGNC:1725,CDC25A,NM_001789,,713,Class III Cys-based CDC25 phosphatases,NM_001789
HGNC:1726,CDC25B,NM_021874,,713,Class III Cys-based CDC25 phosphatases,NM_001287516
HGNC:17839,CDC26,NM_139286,,402,Anaphase promoting complex ,NM_139286
HGNC:1734,CDC34,NM_004359,,102,Ubiquitin conjugating enzymes E2,NM_004359
HGNC:1735,CDC37,NM_007065,,1691,MicroRNA protein coding host genes,NM_007065
HGNC:17179,CDC37L1,NM_017913,,,,NM_017913
HGNC:17350,CDC40,NM_015891,,1498|1508|1516|1510|362,NTC associated proteins|Spliceosomal Bact complex|Spliceosomal P complex|Spliceosomal C complex|WD repeat domain containing,NM_015891
HGNC:1736,CDC42,NM_001791,,390,Rho family GTPases,NM_001039802
HGNC:1737,CDC42BPA,NM_014826,,1625,AGC family kinases,NM_001366010
HGNC:1738,CDC42BPB,NM_006035,,1625,AGC family kinases,NM_006035
HGNC:29829,CDC42BPG,NM_017525,,1625|682,AGC family kinases|Pleckstrin homology domain containing,NM_017525
HGNC:17014,CDC42EP1,NM_152243,,1164,CDC42 effector proteins,NM_152243
HGNC:16263,CDC42EP2,NM_006779,,1164,CDC42 effector proteins,NM_006779
HGNC:16943,CDC42EP3,NM_006449,,1164,CDC42 effector proteins,NM_001270436
HGNC:17147,CDC42EP4,NM_012121,,1164,CDC42 effector proteins,NM_012121
HGNC:17408,CDC42EP5,NM_145057,,1164,CDC42 effector proteins,NM_145057
HGNC:17719,CDC42SE1,NM_020239,,,,NM_001038707
HGNC:18547,CDC42SE2,NM_020240,,,,NM_001038702
HGNC:1739,CDC45,NM_003504,,,,NM_001178010
HGNC:16783,CDC73,NM_024529,,1029|1691,Paf1/RNA polymerase II complex |MicroRNA protein coding host genes,NM_024529
HGNC:16827,CDC123,NM_006023,,,,NM_006023
HGNC:14623,CDCA2,NM_152562,,694,Protein phosphatase 1 regulatory subunits,NM_001317906
HGNC:14624,CDCA3,NM_031299,,,,NM_001297602
HGNC:14625,CDCA4,NM_145701,,,,NM_017955
HGNC:14626,CDCA5,NM_080668,,,,NM_080668
HGNC:14628,CDCA7,NM_031942,,,,NM_031942
HGNC:30777,CDCA7L,NM_018719,,,,NM_001127370
HGNC:14629,CDCA8,NM_018101,,1338,Chromosomal passenger complex,NM_001256875
HGNC:24357,CDCP1,NM_022842,,471,CD molecules,NM_022842
HGNC:27297,CDCP2,NM_201546,,,,NM_001353655
HGNC:1748,CDH1,NM_004360,,1185|471,Type I classical cadherins|CD molecules,NM_001317184
HGNC:1759,CDH2,NM_001792,,1185|471,Type I classical cadherins|CD molecules,NM_001308176
HGNC:1762,CDH3,NM_001793,,1185,Type I classical cadherins,NM_001317195
HGNC:1763,CDH4,NM_001794,,1185,Type I classical cadherins,NM_001252338
HGNC:1764,CDH5,NM_001795,,1186|471,Type II classical cadherins|CD molecules,NM_001795
HGNC:1765,CDH6,NM_004932,,1186,Type II classical cadherins,NM_001362435
HGNC:1766,CDH7,NM_033646,,1186,Type II classical cadherins,NM_001317214
HGNC:1767,CDH8,NM_001796,,1186,Type II classical cadherins,NM_001796
HGNC:1768,CDH9,NM_016279,,1186,Type II classical cadherins,NM_016279
HGNC:1749,CDH10,NM_006727,,1186,Type II classical cadherins,NM_001317222
HGNC:1750,CDH11,NM_033664,,1186,Type II classical cadherins,NM_001308392
HGNC:1751,CDH12,NM_004061,,1186,Type II classical cadherins,NM_001317227
HGNC:1753,CDH13,NM_001257,,18|1691,Major cadherins|MicroRNA protein coding host genes,NM_001220488
HGNC:1754,CDH15,NM_004933,,1185,Type I classical cadherins,NM_004933
HGNC:1755,CDH16,NM_004062,,1187,7D cadherins,NM_001204744
HGNC:1756,CDH17,NM_004063,,1187,7D cadherins,NM_001144663
HGNC:1757,CDH18,NM_004934,,1186,Type II classical cadherins,NM_001167667
HGNC:1758,CDH19,NM_021153,,1186,Type II classical cadherins,NM_001271028
HGNC:1760,CDH20,NM_031891,,1186,Type II classical cadherins,NM_031891
HGNC:13251,CDH22,NM_021248,,1186,Type II classical cadherins,NM_021248
HGNC:13733,CDH23,NM_052836,,1152|24|1691,Deafness associated genes|Cadherin related|MicroRNA protein coding host genes,NM_001171930
HGNC:14265,CDH24,NM_022478,,1186,Type II classical cadherins,NM_022478
HGNC:15902,CDH26,NM_177980,,18,Major cadherins,NM_001348204
HGNC:14550,CDHR1,NM_033100,,24,Cadherin related,NM_001171971
HGNC:18231,CDHR2,NM_017675,,24,Cadherin related,NM_001171976
HGNC:26308,CDHR3,NM_152750,,24,Cadherin related,NM_001301161
HGNC:34527,CDHR4,NM_001007540,,24,Cadherin related,NM_001007540
HGNC:7521,CDHR5,NM_021924,,24,Cadherin related,NM_001171968
HGNC:13234,CDIP1,NM_013399,,,,NM_001199054
HGNC:48609,CDIPTOSP,NR_015396,,,,NR_015396
HGNC:1722,CDK1,NM_001786,,496,Cyclin dependent kinases,NM_001170406
HGNC:14002,CDK2AP1,NM_004642,,,,NM_001270433
HGNC:30833,CDK2AP2,NM_005851,,,,NM_001271849
HGNC:1772,CDK3,NM_001258,,496,Cyclin dependent kinases,NM_001258
HGNC:1773,CDK4,NM_000075,,496|1691,Cyclin dependent kinases|MicroRNA protein coding host genes,NM_000075
HGNC:1775,CDK5R1,NM_003885,,,,NM_003885
HGNC:1776,CDK5R2,NM_003936,,,,NM_003936
HGNC:15880,CDK5RAP1,NM_016408,,,,NM_001278167
HGNC:18672,CDK5RAP2,NM_018249,,,,NM_001011649
HGNC:18673,CDK5RAP3,NM_176096,,,,NM_001278197
HGNC:1778,CDK7,NM_001799,,496|1744,Cyclin dependent kinases|CDK activating kinase complex,NM_001324069
HGNC:1730,CDK11A,NM_024011,,496,Cyclin dependent kinases,NM_001313896
HGNC:1729,CDK11B,NM_001787,,496,Cyclin dependent kinases,NM_001291345
HGNC:24224,CDK12,NM_016507,,496,Cyclin dependent kinases,NM_015083
HGNC:1733,CDK13,NM_003718,,496,Cyclin dependent kinases,NM_003718
HGNC:8883,CDK14,NM_012395,,496,Cyclin dependent kinases,NM_001287135
HGNC:8749,CDK16,NM_006201,,496,Cyclin dependent kinases,NM_001170460
HGNC:8750,CDK17,NM_002595,,496,Cyclin dependent kinases,NM_001170464
HGNC:8751,CDK18,NM_002596,,496,Cyclin dependent kinases,NM_002596
HGNC:19338,CDK19,NM_015076,,496|1061,Cyclin dependent kinases|Mediator complex,NM_001300960
HGNC:21420,CDK20,NM_012119,,496,Cyclin dependent kinases,NM_001039803
HGNC:21050,CDKAL1,NM_017774,,,,NM_017774
HGNC:1782,CDKL2,NM_003948,,496,Cyclin dependent kinases,NM_001330724
HGNC:19287,CDKL4,NM_001346911,,496,Cyclin dependent kinases,NM_001009565
HGNC:11411,CDKL5,NM_003159,,496|1491,Cyclin dependent kinases|Cilia and flagella associated,NM_001037343
HGNC:1784,CDKN1A,NM_078467,,,,NM_000389
HGNC:1785,CDKN1B,NM_004064,,,,NM_004064
HGNC:1786,CDKN1C,NM_000076,,,,NM_000076
HGNC:1787,CDKN2A,NM_000077,,,,NM_000077
HGNC:23831,CDKN2A-DT,NR_024274,,,,NR_024274
HGNC:24325,CDKN2AIP,NM_017632,,,,NM_001317343
HGNC:30545,CDKN2AIPNL,NM_080656,,,,NM_080656
HGNC:1788,CDKN2B,NM_004936,,,,NM_004936
HGNC:34341,CDKN2B-AS1,NR_003529,,788,Long non-coding RNAs (published),NR_003529
HGNC:1789,CDKN2C,NM_001262,,403,Ankyrin repeat domain containing,NM_001262
HGNC:1790,CDKN2D,NM_079421,,403,Ankyrin repeat domain containing,NM_001800
HGNC:24913,CDNF,NM_001029954,,,,NM_001029954
HGNC:17104,CDON,NM_016952,,593|555|594,I-set domain containing|Fibronectin type III domain containing|Immunoglobulin like domain containing,NM_001243597
HGNC:33710,CDPF1,NM_207327,,,,NM_207327
HGNC:1798,CDR1,NM_004065,,,,NM_004065
HGNC:29999,CDR2L,NM_014603,,,,NM_014603
HGNC:14379,CDRT1,NM_006382,,559|362,F-box and WD repeat domain containing|WD repeat domain containing,NM_001282540
HGNC:14383,CDRT4,NM_173622,,,,NM_001204477
HGNC:14395,CDRT15,NM_001007530,,,,NM_001007530
HGNC:34075,CDRT15L2,NM_001190790,,,,NM_001190790
HGNC:34074,CDRT15P2,XM_932309,,,,NR_033865
HGNC:24576,CDT1,NM_030928,,,,NM_030928
HGNC:26928,CDV3,NM_017548,,,,NM_001134422
HGNC:1805,CDX1,NM_001804,,518,HOXL subclass homeoboxes,NM_001804
HGNC:1808,CDX4,NM_005193,,518,HOXL subclass homeoboxes,NM_005193
HGNC:23920,CDY1B,NM_001003894,,,,NM_001003894
HGNC:1810,CDY2A,NM_004825,,,,NM_004825
HGNC:23921,CDY2B,NM_001001722,,,,NM_001001722
HGNC:1811,CDYL,NM_004824,,,,NM_001143970
HGNC:23030,CDYL2,NM_152342,,,,NM_152342
HGNC:1814,CEACAM1,NM_001712,,590|906|594|471,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing|CD molecules,NM_001024912
HGNC:1815,CEACAM3,NM_001815,,590|906|471,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|CD molecules,NM_001277163
HGNC:1816,CEACAM4,NM_001817,,590|906,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family,NM_001362492
HGNC:1817,CEACAM5,NM_004363,,593|590|906|594|471,I-set domain containing|V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing|CD molecules,NM_001291484
HGNC:1819,CEACAM7,NM_006890,,590|906|594,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing,NM_001291485
HGNC:31948,CEACAM16,NM_001039213,,1152|590|906|594,Deafness associated genes|V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing,NM_001039213
HGNC:31951,CEACAM19,NM_020219,,590|906,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family,NM_001127893
HGNC:24879,CEACAM20,NM_198444,,593|906|594,I-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing,NM_001102597
HGNC:28834,CEACAM21,NM_033543,,590|906|594,V-set domain containing|Carcinoembryonic antigen related cell adhesion molecule family|Immunoglobulin like domain containing,NM_001098506
HGNC:1833,CEBPA,NM_004364,,1165|506,CCAAT/enhancer binding proteins |Basic leucine zipper proteins,NM_001285829
HGNC:1834,CEBPB,NM_005194,,1165|506,CCAAT/enhancer binding proteins |Basic leucine zipper proteins,NM_001285878
HGNC:1835,CEBPD,NM_005195,,1165|506,CCAAT/enhancer binding proteins |Basic leucine zipper proteins,NM_005195
HGNC:1836,CEBPE,NM_001805,,1165|506,CCAAT/enhancer binding proteins |Basic leucine zipper proteins,NM_001805
HGNC:1837,CEBPG,NM_001806,,1165|506,CCAAT/enhancer binding proteins |Basic leucine zipper proteins,NM_001252296
HGNC:24218,CEBPZ,NM_005760,,1492|1165,Armadillo-like helical domain containing|CCAAT/enhancer binding proteins ,NM_005760
HGNC:49288,CEBPZOS,NR_037879,,,,NM_001322373
HGNC:1840,CECR2,NM_031413,,1232,Bromodomain containing,NM_001290046
HGNC:3308,CELA1,NM_001971,,1837,Chymotrypsin like elastases,NM_001971
HGNC:29995,CELA2B,NM_015849,,1837,Chymotrypsin like elastases,NM_015849
HGNC:15944,CELA3A,NM_005747,,1837,Chymotrypsin like elastases,NM_005747
HGNC:2549,CELF1,NM_006560,,725,RNA binding motif containing,NM_001025596
HGNC:23515,CELF2-AS1,XR_109007,,,,NR_126062
HGNC:11967,CELF3,NM_007185,,725|775,RNA binding motif containing|Trinucleotide repeat containing,NM_001172648
HGNC:14015,CELF4,NM_020180,,725,RNA binding motif containing,NM_001025087
HGNC:14058,CELF5,NM_021938,,725,RNA binding motif containing,NM_001172673
HGNC:14059,CELF6,NM_052840,,725,RNA binding motif containing,NM_001172684
HGNC:1850,CELSR1,NM_014246,,1189|913,"CELSR cadherins|Adhesion G protein-coupled receptors, subfamily C",NM_014246
HGNC:3231,CELSR2,NM_001408,,1189|913,"CELSR cadherins|Adhesion G protein-coupled receptors, subfamily C",NM_001408
HGNC:3230,CELSR3,NM_001407,,1189|913|1691,"CELSR cadherins|Adhesion G protein-coupled receptors, subfamily C|MicroRNA protein coding host genes",NM_001407
HGNC:29213,CEMIP,NM_018689,,1448,Hyaluronidases,NM_001293298
HGNC:11869,CEMIP2,NM_013390,,1448,Hyaluronidases,NM_001135820
HGNC:32553,CEMP1,NM_001048212,,,,NM_001048212
HGNC:24153,CEND1,NM_016564,,,,NM_016564
HGNC:1851,CENPA,NM_001809,,1576,Constitutive centromere associated network,NM_001042426
HGNC:1852,CENPB,NM_001810,,1415|533,DNA transposon derived genes|Helix-turn-helix CENPB type domain containing,NM_001810
HGNC:28272,CENPBD1,NM_145039,,533,Helix-turn-helix CENPB type domain containing,NM_145039
HGNC:1857,CENPF,NM_016343,,,,NM_016343
HGNC:3968,CENPI,NM_006733,,1576,Constitutive centromere associated network,NM_001318521
HGNC:17272,CENPJ,NM_018451,,,,NM_018451
HGNC:29479,CENPK,NM_022145,,1576,Constitutive centromere associated network,NM_001267038
HGNC:17879,CENPL,NM_033319,,1576,Constitutive centromere associated network,NM_001127181
HGNC:18352,CENPM,NM_024053,,1576|870,Constitutive centromere associated network|Minor histocompatibility antigens,NM_001002876
HGNC:30873,CENPN,NM_018455,,1576,Constitutive centromere associated network,NM_001100624
HGNC:28152,CENPO,NM_024322,,1576,Constitutive centromere associated network,NM_001199803
HGNC:32933,CENPP,NM_001012267,,1576,Constitutive centromere associated network,NM_001012267
HGNC:21347,CENPQ,NM_018132,,1576,Constitutive centromere associated network,NM_018132
HGNC:23163,CENPS,NM_199294,,1576,Constitutive centromere associated network,NM_199294
HGNC:25787,CENPT,NM_025082,,1576,Constitutive centromere associated network,NM_025082
HGNC:21348,CENPU,NM_024629,,1576,Constitutive centromere associated network,NM_024629
HGNC:29920,CENPV,NM_181716,,,,NM_181716
HGNC:31851,CENPVL1,NM_001355277,,,,NM_001355277
HGNC:43879,CENPVL2,NM_001355278,,,,NM_001355278
HGNC:43880,CENPVL3,NM_001355276,,,,NM_001355276
HGNC:11422,CENPX,NM_144998,,1576,Constitutive centromere associated network,NM_001271006
HGNC:28209,CEP19,NM_032898,,,,NM_032898
HGNC:12370,CEP41,NM_018718,,,,NM_001257158
HGNC:29356,CEP44,NM_030633,,,,NM_001040157
HGNC:1161,CEP55,NM_018131,,,,NM_001127182
HGNC:30794,CEP57,NM_014679,,,,NM_001243776
HGNC:21561,CEP57L1,NM_173830,,,,NM_001083535
HGNC:25815,CEP63,NM_025180,,,,NM_001042383
HGNC:29076,CEP68,NM_015147,,,,NM_001319100
HGNC:29972,CEP70,NM_024491,,,,NM_001288964
HGNC:25547,CEP72,NM_018140,,,,NM_018140
HGNC:25727,CEP76,NM_024899,,,,NM_001271989
HGNC:25740,CEP78,NM_001098802,,,,NM_001098802
HGNC:17966,CEP83,NM_016122,,,,NM_001042399
HGNC:25309,CEP85,NM_022778,,,,NM_001281517
HGNC:21638,CEP85L,NM_001042475,,,,NM_001042475
HGNC:25907,CEP89,NM_032816,,,,NM_032816
HGNC:25141,CEP95,NM_138363,,,,NM_001316990
HGNC:26244,CEP97,NM_024548,,,,NM_001303401
HGNC:24866,CEP104,NM_014704,,1495|1491,TOG domain containing|Cilia and flagella associated,NM_014704
HGNC:28514,CEP112,NM_145036,,,,NM_001037325
HGNC:26690,CEP120,NM_153223,,,,NM_001166226
HGNC:29264,CEP126,NM_020802,,,,NM_001363543
HGNC:20359,CEP128,NM_152446,,,,NM_152446
HGNC:29511,CEP131,NM_014984,,,,NM_001009811
HGNC:29086,CEP135,NM_025009,,,,NM_025009
HGNC:29298,CEP152,NM_014985,,,,NM_001194998
HGNC:21107,CEP162,NM_014895,,,,NM_001286206
HGNC:29182,CEP164,NM_014956,,,,NM_001271933
HGNC:28920,CEP170,NM_014812,,,,NM_001042404
HGNC:20362,CEP170B,NM_001112726,,,,NM_001112726
HGNC:28364,CEP170P1,NR_003135.2,,,,NR_003135
HGNC:25515,CEP192,NM_032142,,694,Protein phosphatase 1 regulatory subunits,NM_032142
HGNC:1859,CEP250,NM_007186,,,,NM_001318219
HGNC:29021,CEP290,NM_025114,,980|1545,Bardet-Biedl syndrome associated|MKS complex,NM_025114
HGNC:29366,CEP295,NM_033395,,1835,Small nucleolar RNA protein coding host genes,NM_033395
HGNC:24238,CEP350,NM_014810,,,,NM_014810
HGNC:1862,CER1,NM_005454,,1246,DAN family,NM_005454
HGNC:23723,CERCAM,NM_016174,,,,NM_001286760
HGNC:14076,CERS2,NM_022075,,530,CERS class homeoboxes,NM_022075
HGNC:23752,CERS3,NM_178842,,530,CERS class homeoboxes,NM_001290341
HGNC:23747,CERS4,NM_024552,,530,CERS class homeoboxes,NM_024552
HGNC:23749,CERS5,NM_147190,,530,CERS class homeoboxes,NM_001281731
HGNC:23826,CERS6,NM_203463,,530|1691,CERS class homeoboxes|MicroRNA protein coding host genes,NM_001256126
HGNC:2205,CERT1,NM_005713,,759|682,StAR related lipid transfer domain containing|Pleckstrin homology domain containing,NM_001130105
HGNC:18546,CES1P1,NR_003276,,,,NR_003276
HGNC:1864,CES2,NM_003869,,461,Carboxylesterases,NM_001365405
HGNC:1865,CES3,NM_024922,,461,Carboxylesterases,NM_001185176
HGNC:26741,CES4A,NM_173815,,461,Carboxylesterases,NM_001190201
HGNC:1866,CETN1,NM_004066,,863,EF-hand domain containing,NM_004066
HGNC:1867,CETN2,NM_004344,,1269|1276|863,Nucleotide excision repair|Transcription and export complex 2|EF-hand domain containing,NM_004344
HGNC:1868,CETN3,NM_004365,,863,EF-hand domain containing,NM_001297765
HGNC:1869,CETP,NM_000078,,456,BPI fold containing,NM_000078
HGNC:29523,CFAP20,NM_013242,,1491,Cilia and flagella associated,NM_013242
HGNC:30540,CFAP36,NM_080667,,1491,Cilia and flagella associated,NM_001282761
HGNC:26684,CFAP43,NM_025145,,1491|362,Cilia and flagella associated|WD repeat domain containing,NM_025145
HGNC:25631,CFAP44,NM_018338,,1491|362|1691,Cilia and flagella associated|WD repeat domain containing|MicroRNA protein coding host genes,NM_001164496
HGNC:17229,CFAP45,NM_012337,,1491,Cilia and flagella associated,NM_012337
HGNC:25247,CFAP46,NM_001200049,,1491|769,Cilia and flagella associated|Tetratricopeptide repeat domain containing,NM_001200049
HGNC:26708,CFAP47,NM_001304548,,1491,Cilia and flagella associated,NM_001304548
HGNC:16053,CFAP52,NM_145054,,1491|362,Cilia and flagella associated|WD repeat domain containing,NM_001080556
HGNC:26530,CFAP53,NM_145020,,1491,Cilia and flagella associated,NM_145020
HGNC:26456,CFAP54,NM_001306084,,1491,Cilia and flagella associated,NM_001306084
HGNC:26485,CFAP57,NM_152498,,1491|362,Cilia and flagella associated|WD repeat domain containing,NM_001167965
HGNC:26676,CFAP58,NM_001008723,,1491,Cilia and flagella associated,NM_001008723
HGNC:15872,CFAP61,NM_015585,,1491,Cilia and flagella associated,NM_001167816
HGNC:25325,CFAP65,NM_194302,,1491,Cilia and flagella associated,NM_001278295
HGNC:26107,CFAP69,NM_001039706,,1491|1492,Cilia and flagella associated|Armadillo-like helical domain containing,NM_001039706
HGNC:30726,CFAP70,NM_145170,,1491|769,Cilia and flagella associated|Tetratricopeptide repeat domain containing,NM_001350933
HGNC:37100,CFAP73,NM_001144872,,1491,Cilia and flagella associated,NM_001144872
HGNC:33776,CFAP77,NM_207417,,1491,Cilia and flagella associated,NM_001282957
HGNC:29276,CFAP97,NM_020827,,1491,Cilia and flagella associated,NM_001292033
HGNC:37241,CFAP97D1,NM_001136483,,,,NM_001136483
HGNC:51180,CFAP99,NM_001193282,,1491,Cilia and flagella associated,NM_001193282
HGNC:26842,CFAP100,NM_182628,,1491,Cilia and flagella associated,NM_182628
HGNC:32325,CFAP126,NM_001013625,,1491,Cilia and flagella associated,NM_001013625
HGNC:27843,CFAP157,NM_001012502,,1491,Cilia and flagella associated,NM_001012502
HGNC:26782,CFAP161,NM_173528,,1491,Cilia and flagella associated,NM_001353365
HGNC:21405,CFAP206,NM_178823,,1491,Cilia and flagella associated,NM_001031743
HGNC:1301,CFAP298,NM_021254,,1491,Cilia and flagella associated,NM_001350334
HGNC:28554,CFAP299,NM_152770,,1491,Cilia and flagella associated,NM_001206997
HGNC:28188,CFAP300,NM_032930,,1491,Cilia and flagella associated,NM_001195005
HGNC:1260,CFAP410,NM_004928,,,,NM_001271440
HGNC:18292,CFC1,NM_032545,,,,NM_001270420
HGNC:33983,CFC1B,NM_001079530,,,,NM_001079530
HGNC:2771,CFD,NM_001928,,1636|1638,Granule associated serine proteases of immune defence|Complement system activation components,NM_001317335
